account_id,customer_id,account_type,balance,status
174,73,Credit,0,Frozen
155,79,Savings,0,Active
258,80,Savings,4127.52,Active
291,66,Savings,17202.84,Frozen
134,94,Credit,1215.04,Frozen
107,50,Current,0,Active
253,5,Credit,303.54,Closed
239,78,Credit,0,Closed
233,64,Credit,0,Closed
282,45,Savings,0,Frozen
240,1,Current,16146.23,Closed
114,94,Credit,0,Active
220,46,Current,3644.83,Closed
153,67,Current,15512.74,Active
115,47,Credit,0,Frozen
173,41,Credit,0,Active
281,46,Credit,0,Closed
157,25,Savings,2096.87,Frozen
264,36,Credit,3404.15,Active
273,98,Credit,0,Active
202,84,Credit,3266.2,Closed
218,34,Credit,717.72,Frozen
188,40,Savings,0,Frozen
138,10,Credit,16438.09,Frozen
201,51,Credit,0,Frozen
159,35,Savings,15508.86,Active
265,67,Current,0,Closed
187,94,Credit,0,Active
131,23,Credit,7703.36,Closed
268,42,Current,0,Active
232,47,Current,5437.16,Closed
133,62,Credit,2091.76,Active
170,31,Credit,11114.5,Frozen
137,23,Current,15684.98,Frozen
249,59,Savings,18986.43,Active
224,31,Credit,18543.94,Frozen
189,10,Current,9655.93,Frozen
136,84,Savings,0,Frozen
156,83,Current,12479.64,Closed
216,75,Savings,0,Frozen
119,38,Savings,0,Active
122,15,Credit,16689.88,Closed
125,27,Credit,0,Closed
254,34,Savings,0,Closed
151,95,Credit,0,Frozen
124,83,Current,0,Active
250,56,Savings,6809.23,Frozen
274,3,Current,12576.27,Closed
276,24,Savings,2271.94,Closed
132,54,Savings,0,Active
246,56,Savings,0,Closed
225,8,Savings,0,Frozen
252,52,Savings,4772.75,Closed
208,90,Savings,0,Closed
193,31,Credit,6534.54,Closed
262,95,Current,12615.04,Frozen
300,42,Current,16222.62,Frozen
237,37,Current,13808.29,Frozen
251,87,Credit,2801.44,Closed
214,19,Savings,0,Frozen
266,7,Savings,5028.42,Active
228,42,Savings,7038.46,Closed
213,73,Savings,0,Frozen
185,24,Savings,13561.71,Active
277,31,Current,0,Frozen
288,84,Credit,10267.92,Frozen
165,79,Credit,4773.27,Frozen
296,82,Credit,11496.26,Frozen
177,61,Savings,6173.85,Closed
110,74,Credit,0,Frozen
142,64,Current,2394.35,Frozen
102,58,Current,0,Frozen
247,7,Current,0,Frozen
183,99,Credit,11282.64,Frozen
161,37,Savings,0,Closed
293,81,Savings,0,Frozen
135,9,Savings,0,Frozen
231,27,Current,0,Closed
215,52,Savings,17758.04,Closed
243,73,Savings,12838.37,Active
129,90,Current,0,Closed
169,18,Current,0,Closed
190,42,Current,17010.96,Active
65,73,Credit,0,Active
66,76,Credit,0,Frozen
67,70,Savings,0,Frozen
68,83,Current,10915.28,Frozen
69,28,Credit,0,Active
70,90,Savings,0,Closed
71,15,Credit,17215.79,Active
72,66,Current,10953.84,Active
73,17,Savings,0,Frozen
74,49,Credit,5164.57,Frozen
75,93,Current,15303.66,Active
76,50,Current,0,Frozen
77,83,Current,19543.25,Active
78,34,Savings,17811.4,Closed
79,3,Current,0,Closed
80,1,Current,0,Closed
81,22,Savings,2789.13,Closed
82,3,Current,18867.55,Frozen
83,90,Credit,9524.5,Active
84,16,Savings,8237.45,Frozen
85,7,Current,4205.42,Frozen
86,84,Credit,12109.48,Active
87,93,Savings,3955.46,Closed
88,54,Credit,0,Active
89,71,Credit,0,Active
289,19,Credit,7323.8,Closed
108,47,Savings,0,Active
255,72,Current,0,Active
172,12,Credit,14824.42,Active
121,95,Current,0,Frozen
221,8,Savings,0,Frozen
141,69,Savings,13009.6,Closed
162,96,Credit,15025.57,Active
267,38,Credit,0,Closed
127,96,Current,0,Active
226,37,Current,3759.01,Active
195,11,Savings,0,Closed
295,96,Savings,483.99,Closed
171,10,Savings,0,Closed
219,11,Savings,7820.43,Frozen
146,8,Savings,14652.72,Active
101,18,Current,4876.92,Frozen
149,44,Current,586.62,Frozen
284,24,Savings,18217.38,Closed
248,25,Current,0,Active
235,58,Current,2680.34,Frozen
158,84,Credit,18148.41,Frozen
186,62,Savings,15085.1,Frozen
205,38,Current,0,Active
294,2,Credit,0,Active
130,77,Current,11412.24,Active
164,1,Credit,15532.19,Closed
168,70,Savings,17193,Closed
272,28,Credit,0,Frozen
230,64,Current,8694.79,Frozen
181,5,Current,0,Active
198,75,Savings,0,Frozen
139,100,Current,9937.59,Frozen
191,12,Credit,12235.39,Closed
236,89,Savings,0,Active
279,42,Savings,0,Frozen
166,50,Credit,0,Closed
106,2,Current,4333.75,Frozen
212,32,Credit,6896,Active
117,21,Current,4651.03,Frozen
271,69,Current,6539.36,Active
178,11,Savings,0,Active
